IMPERIAL COLLEGE SUPERSONIC WIND TUNNEL -  CONTROLLER RESULTS FILE 
Run time: 09:28:01 21-11-2022
Barometric pressure: 0.9994 BarA
Nozzle: Mach 2.0
Camera delay (ms): 0.0000
Time[s],PV[BarA],SP[BarA],IO[mA]
0.03500,0.99940,1.06816,4.49507
0.05300,0.99950,1.06816,4.54117
0.10900,0.99920,1.06816,4.55979
0.13600,0.99950,1.06816,4.56180
0.14600,0.99950,1.06816,4.56823
0.15600,0.99920,1.06816,4.58098
0.16700,0.99920,1.06816,4.58327
0.17700,0.99981,1.06816,4.58813
0.18800,0.99920,1.06816,4.59617
0.19800,0.99920,1.06816,4.61496
0.21800,0.99890,1.06816,4.61662
0.22900,0.99981,1.06816,4.62319
0.23900,0.99981,1.06816,4.63668
0.25100,0.99890,1.06816,4.63789
0.26200,0.99950,1.06816,4.64418
0.27300,0.99890,1.06816,4.65232
0.28300,0.99798,1.06816,4.67465
0.30600,0.99890,1.06816,4.67821
0.31600,0.99859,1.06816,4.68561
0.32600,0.99890,1.06816,4.70643
0.34900,0.99981,1.06816,4.70690
0.35900,0.99920,1.06816,4.71167
0.36900,0.99920,1.06816,4.72484
0.38200,0.99920,1.06816,4.72536
0.39300,0.99920,1.06816,4.73205
0.40400,0.99890,1.06816,4.74028
0.41400,0.99920,1.06816,4.75307
0.42500,0.99920,1.06816,4.75506
0.43600,0.99950,1.06816,4.76136
0.44700,0.99950,1.06816,4.76793
0.45700,0.99890,1.06816,4.78028
0.46800,0.99950,1.06816,4.78215
0.47800,0.99890,1.06816,4.78910
0.48800,0.99950,1.06816,4.79609
0.49800,0.99859,1.06816,4.80858
0.50900,0.99950,1.06816,4.81051
0.51900,0.99920,1.06816,4.81708
0.52900,0.99920,1.06816,4.82290
0.53900,0.99829,1.06816,4.84101
0.55700,0.99981,1.06816,4.84386
0.56700,0.99920,1.06816,4.84911
0.57700,0.99950,1.06816,4.85603
0.59700,0.99890,1.06816,4.86881
0.60800,0.99950,1.06816,4.87475
0.61800,0.99920,1.06816,4.88313
0.63500,0.99890,1.06816,4.89355
0.64500,0.99981,1.06816,4.89920
0.65600,0.99920,1.06816,4.90597
0.66600,1.00041,1.06816,4.91886
0.67900,0.99920,1.06816,4.91986
0.68900,0.99859,1.06816,4.92647
0.69900,0.99950,1.06816,4.93448
0.70900,0.99890,1.06816,4.95061
0.72400,0.99859,1.06816,4.95400
0.73400,0.99859,1.06816,4.96063
0.74500,0.99981,1.06816,4.96928
0.76800,0.99859,1.06816,4.98358
0.77900,0.99920,1.06816,4.99054
0.78900,0.99859,1.06816,4.99881
0.81000,0.99890,1.06816,5.01122
0.82000,0.99829,1.06816,5.01927
0.83000,0.99950,1.06816,5.02491
0.84000,0.99890,1.06816,5.03729
0.85000,0.99890,1.06816,5.03827
0.86100,0.99890,1.06816,5.04454
0.87200,1.00011,1.06816,5.05034
0.88200,0.99890,1.06816,5.06342
0.89300,0.99890,1.06816,5.06471
0.90400,0.99890,1.06816,5.07137
0.91400,0.99981,1.06816,5.07784
0.92400,0.99890,1.06816,5.09175
0.93500,0.99950,1.06816,5.09242
0.94600,0.99829,1.06816,5.09930
0.95600,0.99859,1.06816,5.10722
0.96600,0.99890,1.06816,5.12303
0.98000,0.99950,1.06816,5.12479
0.99000,0.99890,1.06816,5.13060
1.00000,0.99890,1.06816,5.13706
1.01000,0.99829,1.06816,5.15068
1.02200,0.99920,1.06816,5.15249
1.03200,0.99859,1.06816,5.15925
1.04200,0.99890,1.06816,5.16675
1.05200,0.99920,1.06816,5.17937
1.06400,0.99890,1.06816,5.18006
1.07500,0.99920,1.06816,5.18716
1.08600,0.99981,1.06816,5.19433
1.10300,0.99890,1.06816,5.20385
