IMPERIAL COLLEGE SUPERSONIC WIND TUNNEL -  NETSCANNER PRESSURE RESULTS FILE - UNIT 1 
Run time: 09:28:01 21-11-2022
Barometric pressure: 0.9994 BarA
Nozzle: Mach 2.0
Camera delay (ms): 0.0000
Missed Packets:  0
Pressure quoted in units of BarA
Time[s] ,Ch1(33.0mm),Ch2(53.0mm),Ch3(73.0mm),Ch4(93.0mm),Ch5(113.0mm),Ch6(133.0mm),Ch7(153.0mm),Ch8(173.0mm),Ch9(0.0mm),Ch10(0.0mm),Ch11(213.0mm),Ch12(233.0mm),Ch13(253.0mm),Ch14(273.0mm),Ch15(0.0mm),Ch16(0.0mm)
0.01000,0.99947,0.99934,0.99939,0.99935,0.99928,0.99947,0.99917,0.99941,0.99950,0.99243,0.99922,0.99935,0.99940,0.99931,0.99930,0.99950
0.02000,0.99952,0.99939,0.99928,0.99946,0.99923,0.99942,0.99917,0.99947,0.99939,0.99264,0.99922,0.99935,0.99930,0.99942,0.99940,0.99920
0.03000,0.99947,0.99934,0.99939,0.99930,0.99934,0.99937,0.99951,0.99921,0.99934,0.99264,0.99937,0.99935,0.99940,0.99942,0.99940,0.99950
0.04000,0.99942,0.99928,0.99928,0.99951,0.99934,0.99947,0.99951,0.99936,0.99939,0.99264,0.99927,0.99940,0.99945,0.99926,0.99930,0.99920
0.05000,0.99957,0.99950,0.99923,0.99946,0.99928,0.99942,0.99934,0.99941,0.99929,0.99285,0.99927,0.99935,0.99940,0.99942,0.99930,0.99890
0.06000,0.99942,0.99923,0.99934,0.99956,0.99934,0.99947,0.99934,0.99952,0.99934,0.99285,0.99937,0.99930,0.99935,0.99931,0.99930,0.99920
0.07000,0.99942,0.99934,0.99939,0.99930,0.99928,0.99942,0.99940,0.99941,0.99929,0.99285,0.99927,0.99930,0.99940,0.99931,0.99925,0.99890
0.08000,0.99957,0.99950,0.99928,0.99935,0.99923,0.99947,0.99940,0.99947,0.99929,0.99285,0.99932,0.99940,0.99940,0.99942,0.99925,0.99981
0.09000,0.99947,0.99939,0.99928,0.99935,0.99934,0.99942,0.99929,0.99936,0.99934,0.99290,0.99937,0.99945,0.99935,0.99926,0.99946,0.99920
0.10000,0.99947,0.99928,0.99934,0.99935,0.99939,0.99942,0.99940,0.99941,0.99934,0.99280,0.99937,0.99945,0.99930,0.99942,0.99940,0.99950
0.11000,0.99937,0.99944,0.99944,0.99940,0.99934,0.99937,0.99934,0.99957,0.99934,0.99296,0.99942,0.99935,0.99951,0.99926,0.99930,0.99859
0.12000,0.99952,0.99934,0.99934,0.99930,0.99923,0.99942,0.99951,0.99941,0.99929,0.99290,0.99932,0.99940,0.99935,0.99931,0.99935,0.99920
0.13000,0.99952,0.99934,0.99934,0.99935,0.99944,0.99937,0.99934,0.99936,0.99934,0.99290,0.99937,0.99930,0.99924,0.99947,0.99930,0.99920
0.14000,0.99952,0.99939,0.99934,0.99940,0.99934,0.99937,0.99951,0.99936,0.99929,0.99269,0.99942,0.99940,0.99935,0.99926,0.99940,0.99981
0.15000,0.99952,0.99950,0.99928,0.99951,0.99934,0.99952,0.99934,0.99952,0.99934,0.99269,0.99942,0.99935,0.99956,0.99931,0.99930,0.99890
0.16000,0.99942,0.99934,0.99944,0.99935,0.99928,0.99937,0.99940,0.99936,0.99934,0.99269,0.99927,0.99935,0.99935,0.99937,0.99930,0.99920
0.17000,0.99942,0.99928,0.99934,0.99940,0.99934,0.99937,0.99940,0.99941,0.99934,0.99254,0.99937,0.99940,0.99951,0.99931,0.99951,0.99920
0.18000,0.99957,0.99934,0.99934,0.99930,0.99939,0.99947,0.99934,0.99941,0.99929,0.99243,0.99942,0.99945,0.99945,0.99937,0.99935,0.99890
0.19000,0.99942,0.99934,0.99928,0.99935,0.99934,0.99932,0.99940,0.99926,0.99939,0.99248,0.99927,0.99940,0.99935,0.99942,0.99940,0.99920
0.20000,0.99952,0.99928,0.99939,0.99930,0.99939,0.99942,0.99940,0.99936,0.99929,0.99227,0.99932,0.99930,0.99935,0.99931,0.99940,0.99981
0.21000,0.99942,0.99934,0.99934,0.99946,0.99918,0.99947,0.99934,0.99936,0.99939,0.99211,0.99937,0.99935,0.99935,0.99916,0.99930,0.99981
0.22000,0.99947,0.99934,0.99923,0.99935,0.99928,0.99932,0.99934,0.99952,0.99929,0.99211,0.99927,0.99945,0.99945,0.99931,0.99940,0.99890
0.23000,0.99952,0.99939,0.99923,0.99935,0.99949,0.99937,0.99946,0.99931,0.99934,0.99211,0.99932,0.99935,0.99951,0.99931,0.99940,0.99950
0.24000,0.99937,0.99934,0.99939,0.99919,0.99944,0.99927,0.99946,0.99947,0.99939,0.99243,0.99948,0.99945,0.99930,0.99926,0.99940,0.99890
0.25000,0.99952,0.99923,0.99944,0.99930,0.99939,0.99927,0.99940,0.99941,0.99929,0.99254,0.99927,0.99930,0.99940,0.99937,0.99946,0.99798
0.26000,0.99963,0.99934,0.99928,0.99946,0.99928,0.99937,0.99934,0.99947,0.99924,0.99233,0.99932,0.99930,0.99940,0.99942,0.99935,0.99890
0.27000,0.99952,0.99928,0.99934,0.99914,0.99928,0.99937,0.99951,0.99947,0.99945,0.99211,0.99932,0.99940,0.99935,0.99931,0.99930,0.99890
0.28000,0.99942,0.99934,0.99939,0.99924,0.99928,0.99937,0.99940,0.99941,0.99929,0.99248,0.99942,0.99935,0.99940,0.99931,0.99946,0.99859
0.29000,0.99947,0.99944,0.99939,0.99924,0.99918,0.99942,0.99934,0.99947,0.99934,0.99222,0.99927,0.99940,0.99940,0.99931,0.99925,0.99890
0.30000,0.99937,0.99934,0.99950,0.99924,0.99928,0.99927,0.99940,0.99936,0.99939,0.99211,0.99942,0.99940,0.99951,0.99942,0.99935,0.99981
0.31000,0.99952,0.99950,0.99923,0.99935,0.99944,0.99942,0.99934,0.99926,0.99939,0.99243,0.99927,0.99930,0.99935,0.99947,0.99925,0.99920
0.32000,0.99957,0.99950,0.99928,0.99935,0.99934,0.99927,0.99940,0.99947,0.99934,0.99275,0.99932,0.99935,0.99940,0.99926,0.99930,0.99920
0.33000,0.99947,0.99934,0.99939,0.99946,0.99928,0.99937,0.99917,0.99931,0.99945,0.99259,0.99937,0.99935,0.99930,0.99926,0.99946,0.99920
0.34000,0.99963,0.99923,0.99928,0.99924,0.99939,0.99942,0.99946,0.99926,0.99924,0.99233,0.99932,0.99940,0.99930,0.99942,0.99940,0.99920
0.35000,0.99952,0.99928,0.99934,0.99935,0.99928,0.99927,0.99946,0.99931,0.99939,0.99222,0.99927,0.99940,0.99940,0.99937,0.99940,0.99920
0.36000,0.99952,0.99944,0.99934,0.99951,0.99934,0.99947,0.99940,0.99936,0.99939,0.99233,0.99932,0.99940,0.99945,0.99931,0.99930,0.99920
0.37000,0.99963,0.99923,0.99928,0.99946,0.99944,0.99932,0.99940,0.99931,0.99934,0.99243,0.99937,0.99940,0.99945,0.99937,0.99935,0.99890
