IMPERIAL COLLEGE SUPERSONIC WIND TUNNEL -  NETSCANNER PRESSURE RESULTS FILE - UNIT 2 
Run time: 09:28:01 21-11-2022
Barometric pressure: 0.9994 BarA
Nozzle: Mach 2.0
Camera delay (ms): 0.0000
Missed Packets:  0
Pressure quoted in units of BarA
Time[s], PIV,Ch17(193.0mm),Ch18(383.0mm),Ch19(403.0mm),Ch20(423.0mm),Ch21(443.0mm),Ch22(463.0mm),Ch23(483.0mm),Ch24(503.0mm),Ch25(523.0mm),Ch26(543.0mm),Ch27(563.0mm),Ch28(583.0mm),Ch29(363.0mm),Ch30(0.0mm),Ch31(0.0mm),Ch32(0.0mm),Kulite
0.01000,0.00000,0.99931,0.99932,0.99943,0.99942,0.99925,0.99952,0.99921,0.99924,0.99943,0.99942,0.99945,0.99938,0.99948,0.99948,0.99948,0.99966,0.00000
0.02000,0.00000,0.99941,0.99937,0.99927,0.99937,0.99935,0.99932,0.99926,0.99929,0.99943,0.99947,0.99955,0.99948,0.99943,0.99948,0.99943,0.99961,0.00000
0.03000,0.00000,0.99946,0.99948,0.99938,0.99937,0.99935,0.99926,0.99942,0.99934,0.99933,0.99942,0.99945,0.99943,0.99948,0.99958,0.99953,0.99955,0.00000
0.04000,0.00000,0.99941,0.99932,0.99932,0.99942,0.99930,0.99947,0.99926,0.99934,0.99938,0.99942,0.99945,0.99938,0.99943,0.99953,0.99953,0.99955,0.00000
0.05000,0.00000,0.99941,0.99921,0.99943,0.99932,0.99946,0.99947,0.99932,0.99929,0.99943,0.99936,0.99955,0.99943,0.99953,0.99948,0.99953,0.99955,0.00000
0.06000,0.00000,0.99941,0.99948,0.99938,0.99948,0.99941,0.99921,0.99942,0.99929,0.99938,0.99942,0.99930,0.99943,0.99948,0.99942,0.99948,0.99940,0.00000
0.07000,0.00000,0.99931,0.99927,0.99948,0.99932,0.99941,0.99952,0.99921,0.99940,0.99943,0.99947,0.99935,0.99943,0.99948,0.99948,0.99958,0.99961,0.00000
0.08000,0.00000,0.99941,0.99937,0.99943,0.99937,0.99930,0.99942,0.99926,0.99924,0.99938,0.99942,0.99945,0.99933,0.99943,0.99963,0.99958,0.99950,0.00000
0.09000,0.00000,0.99931,0.99921,0.99938,0.99932,0.99946,0.99926,0.99937,0.99934,0.99933,0.99947,0.99955,0.99943,0.99948,0.99942,0.99953,0.99971,0.00000
0.10000,0.00000,0.99936,0.99943,0.99932,0.99948,0.99957,0.99937,0.99921,0.99924,0.99949,0.99942,0.99950,0.99943,0.99938,0.99953,0.99943,0.99945,0.00000
